controlId,title,family,description,subFamily,parameters,objectives,enhancements
AC-1,AC-01 - Policy and Procedures,Access Control,"a. Develop, document, and disseminate to : 1. access control policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the access control policy and the associated access controls; b. Designate an to manage the development, documentation, and dissemination of the access control policy and procedures; and c. Review and update the current access control: 1. Policy and following ; and 2. Procedures and following . Discussion Access control policy and procedures address the controls in the AC family that are implemented within systems and organizations. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of access control policy and procedures. Security and privacy program policies and procedures at the organization level are preferable, in general, and may obviate the need for mission- or system-specific policies and procedures. The policy can be included as part of the general security and privacy policy or be represented by multiple policies reflecting the complex nature of organizations. Procedures can be established for security and privacy programs, for mission or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents. Events that may precipitate an update to access control policy and procedures include assessment or audit findings, security incidents or breaches, or changes in laws, executive orders, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.",AC-1,ac-1_prm_1: organization-defined personnel or roles | ac-01_odp.01: personnel or roles | ac-01_odp.02: personnel or roles | ac-01_odp.03: [Selection (one or more): organization-level; mission/business process-level; system-level] | ac-01_odp.04: official | ac-01_odp.05: frequency | ac-01_odp.06: events | ac-01_odp.07: frequency | (+1 more),AC-01a.[01]: An access control policy is developed and documented; | AC-01a.[02]: The access control policy is disseminated to ; | AC-01a.[03]: Access control procedures to facilitate the implementation of the access control policy and associated controls are developed and documented; | AC-01a.[04]: The access control procedures are disseminated to ; | AC-01a.01(a)[01]: The access control policy addresses purpose; | AC-01a.01(a)[02]: The access control policy addresses scope; | AC-01a.01(a)[03]: The access control policy addresses roles; | AC-01a.01(a)[04]: The access control policy addresses responsibilities; | (+9 more),
AC-2,AC-02 - Account Management,Access Control,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system; b. Assign account managers; c. Require for group and role membership; d. Specify: 1. Authorized users of the system; 2. Group and role membership; and 3. Access authorizations (i.e., privileges) and for each account; e. Require approvals by for requests to create accounts; f. Create, enable, modify, disable, and remove accounts in accordance with ; g. Monitor the use of accounts; h. Notify account managers and within: 1. when accounts are no longer required; 2. when users are terminated or transferred; and 3. when system usage or need-to-know changes for an individual; i. Authorize access to the system based on: 1. A valid access authorization; 2. Intended system usage; and 3. ; j. Review accounts for compliance with account management requirements ; k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and l. Align account management processes with personnel termination and transfer processes. Discussion Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts. Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability. Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training.",AC-2,"ac-02_odp.01: prerequisites and criteria | ac-02_odp.02: attributes (as required) | ac-02_odp.03: personnel or roles | ac-02_odp.04: policy, procedures, prerequisites, and criteria | ac-02_odp.05: personnel or roles | ac-02_odp.06: time period | ac-02_odp.07: time period | ac-02_odp.08: time period | (+2 more)","AC-02a.[01]: Account types allowed for use within the system are defined and documented; | AC-02a.[02]: Account types specifically prohibited for use within the system are defined and documented; | AC-02b.: Account managers are assigned; | AC-02c.: for group and role membership are required; | AC-02d.01: Authorized users of the system are specified; | AC-02d.02: Group and role membership are specified; | AC-02d.03[01]: Access authorizations (i.e., privileges) are specified for each account; | AC-02d.03[02]: are specified for each account; | (+18 more)",Enhancements AC-2(1) - Automated System Account Management AC-2(2) - Automated Temporary and Emergency Account Management AC-2(3) - Disable Accounts AC-2(4) - Automated Audit Actions AC-2(5) - Inactivity Logout AC-2(6) - Dynamic Privilege Management AC-2(7) - Privileged User Accounts AC-2(8) - Dynamic Account Management AC-2(9) - Restrictions on Use of Shared and Group Accounts AC-2(11) - Usage Conditions AC-2(12) - Account Monitoring for Atypical Usage AC-2(13) - Disable Accounts for High-risk Individuals
AC-2(1),AC-02(01) - Automated System Account Management,Access Control,"Support the management of system accounts using . Discussion Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications.",AC-2,ac-02.01_odp: automated mechanisms,AC-02(01): The management of system accounts is supported using .,
AC-2(2),AC-02(02) - Automated Temporary and Emergency Account Management,Access Control,Automatically temporary and emergency accounts after . Discussion Management of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation.,AC-2,ac-02.02_odp.01: [Selection: remove; disable] | ac-02.02_odp.02: time period,AC-02(02): Temporary and emergency accounts are automatically after .,
AC-2(3),AC-02(03) - Disable Accounts,Access Control,"Disable accounts within when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for . Discussion Disabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system. Additional StateRAMP Requirements and Guidance: AC-2 (3) Requirement: The service provider defines the time period for non-user accounts (e.g., accounts associated with devices). The time periods are approved and accepted by the SAC/Sponsor. Where user management is a function of the service, reports of activity of consumer users shall be made available. AC-2 (3) (d) Requirement: The service provider defines the time period of inactivity for device identifiers.",AC-2,ac-02.03_odp.01: time period | ac-02.03_odp.02: time period,AC-02(03)(a): Accounts are disabled within when the accounts have expired; | AC-02(03)(b): Accounts are disabled within when the accounts are no longer associated with a user or individual; | AC-02(03)(c): Accounts are disabled within when the accounts are in violation of organizational policy; | AC-02(03)(d): Accounts are disabled within when the accounts have been inactive for .,
AC-2(4),AC-02(04) - Automated Audit Actions,Access Control,"Automatically audit account creation, modification, enabling, disabling, and removal actions. Discussion Account management audit records are defined in accordance with AU-2 and reviewed, analyzed, and reported in accordance with AU-6 .",AC-2,,AC-02(04)[01]: Account creation is automatically audited; | AC-02(04)[02]: Account modification is automatically audited; | AC-02(04)[03]: Account enabling is automatically audited; | AC-02(04)[04]: Account disabling is automatically audited; | AC-02(04)[05]: Account removal actions are automatically audited.,
AC-2(5),AC-02(05) - Inactivity Logout,Access Control,Require that users log out when . Discussion Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by AC-11 . Additional StateRAMP Requirements and Guidance: AC-2 (5) Guidance: Should use a shorter timeframe than AC-12.,AC-2,ac-02.05_odp: time period of expected inactivity or description of when to log out,AC-02(05): Users are required to log out when .,
AC-2(7),AC-02(07) - Privileged User Accounts,Access Control,"(a) Establish and administer privileged user accounts in accordance with ; (b) Monitor privileged role or attribute assignments; (c) Monitor changes to roles or attributes; and (d) Revoke access when privileged role or attribute assignments are no longer appropriate. Discussion Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes.",AC-2,ac-02.07_odp: [Selection: a role-based access scheme; an attribute-based access scheme],AC-02(07)(a): Privileged user accounts are established and administered in accordance with ; | AC-02(07)(b): Privileged role or attribute assignments are monitored; | AC-02(07)(c): Changes to roles or attributes are monitored; | AC-02(07)(d): Access is revoked when privileged role or attribute assignments are no longer appropriate.,
AC-2(9),AC-02(09) - Restrictions on Use of Shared and Group Accounts,Access Control,"Only permit the use of shared and group accounts that meet . Discussion Before permitting the use of shared or group accounts, organizations consider the increased risk due to the lack of accountability with such accounts. Additional StateRAMP Requirements and Guidance: AC-2 (9) Requirement: Required if shared/group accounts are deployed",AC-2,ac-02.09_odp: conditions,AC-02(09): The use of shared and group accounts is only permitted if are met.,
AC-2(12),AC-02(12) - Account Monitoring for Atypical Usage,Access Control,(a) Monitor system accounts for ; and (b) Report atypical usage of system accounts to . Discussion Atypical usage includes accessing systems at certain times of the day or from locations that are not consistent with the normal usage patterns of individuals. Monitoring for atypical usage may reveal rogue behavior by individuals or an attack in progress. Account monitoring may inadvertently create privacy risks since data collected to identify atypical usage may reveal previously unknown information about the behavior of individuals. Organizations assess and document privacy risks from monitoring accounts for atypical usage in their privacy impact assessment and make determinations that are in alignment with their privacy program plan. Additional StateRAMP Requirements and Guidance: AC-2 (12) (a) Requirement: Required for privileged accounts. AC-2 (12) (b) Requirement: Required for privileged accounts.,AC-2,ac-02.12_odp.01: atypical usage | ac-02.12_odp.02: personnel or roles,AC-02(12)(a): System accounts are monitored for ; | AC-02(12)(b): Atypical usage of system accounts is reported to .,
AC-2(13),AC-02(13) - Disable Accounts for High-risk Individuals,Access Control,"Disable accounts of individuals within of discovery of . Discussion Users who pose a significant security and/or privacy risk include individuals for whom reliable evidence indicates either the intention to use authorized access to systems to cause harm or through whom adversaries will cause harm. Such harm includes adverse impacts to organizational operations, organizational assets, individuals, other organizations, or the Nation. Close coordination among system administrators, legal staff, human resource managers, and authorizing officials is essential when disabling system accounts for high-risk individuals.",AC-2,ac-02.13_odp.01: time period | ac-02.13_odp.02: significant risks,AC-02(13): Accounts of individuals are disabled within of discovery of .,
AC-3,AC-03 - Access Enforcement,Access Control,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies. Discussion Access control policies control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (i.e., devices, files, records, domains) in organizational systems. In addition to enforcing authorized access at the system level and recognizing that systems can host many applications and services in support of mission and business functions, access enforcement mechanisms can also be employed at the application and service level to provide increased information security and privacy. In contrast to logical access controls that are implemented within the system, physical access controls are addressed by the controls in the Physical and Environmental Protection ( PE ) family.",AC-3,,AC-03: Approved authorizations for logical access to information and system resources are enforced in accordance with applicable access control policies.,Enhancements AC-3(2) - Dual Authorization AC-3(3) - Mandatory Access Control AC-3(4) - Discretionary Access Control AC-3(5) - Security-relevant Information AC-3(7) - Role-based Access Control AC-3(8) - Revocation of Access Authorizations AC-3(9) - Controlled Release AC-3(10) - Audited Override of Access Control Mechanisms AC-3(11) - Restrict Access to Specific Information Types AC-3(12) - Assert and Enforce Application Access AC-3(13) - Attribute-based Access Control AC-3(14) - Individual Access AC-3(15) - Discretionary and Mandatory Access Control
AC-4,AC-04 - Information Flow Enforcement,Access Control,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on . Discussion Information flow control regulates where information can travel within a system and between systems (in contrast to who is allowed to access the information) and without regard to subsequent accesses to that information. Flow control restrictions include blocking external traffic that claims to be from within the organization, keeping export-controlled information from being transmitted in the clear to the Internet, restricting web requests that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between organizations may require an agreement specifying how the information flow is enforced (see CA-3 ). Transferring information between systems in different security or privacy domains with different security or privacy policies introduces the risk that such transfers violate one or more domain security or privacy policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between connected systems. Organizations consider mandating specific architectural solutions to enforce specific security and privacy policies. Enforcement includes prohibiting information transfers between connected systems (i.e., allowing access only), verifying write permissions before accepting information from another security or privacy domain or connected system, employing hardware mechanisms to enforce one-way information flows, and implementing trustworthy regrading mechanisms to reassign security or privacy attributes and labels. Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations within systems and between connected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices that employ rule sets or establish configuration settings that restrict system services, provide a packet-filtering capability based on header information, or provide a message-filtering capability based on message content. Organizations also consider the trustworthiness of filtering and/or inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 32 primarily address cross-domain solution needs that focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, such as high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf products. Information flow enforcement also applies to control plane traffic (e.g., routing and DNS).",AC-4,ac-04_odp: information flow control policies,AC-04: Approved authorizations are enforced for controlling the flow of information within the system and between connected systems based on .,Enhancements AC-4(1) - Object Security and Privacy Attributes AC-4(2) - Processing Domains AC-4(3) - Dynamic Information Flow Control AC-4(4) - Flow Control of Encrypted Information AC-4(5) - Embedded Data Types AC-4(6) - Metadata AC-4(7) - One-way Flow Mechanisms AC-4(8) - Security and Privacy Policy Filters AC-4(9) - Human Reviews AC-4(10) - Enable and Disable Security or Privacy Policy Filters AC-4(11) - Configuration of Security or Privacy Policy Filters AC-4(12) - Data Type Identifiers AC-4(13) - Decomposition into Policy-relevant Subcomponents AC-4(14) - Security or Privacy Policy Filter Constraints AC-4(15) - Detection of Unsanctioned Information AC-4(17) - Domain Authentication AC-4(19) - Validation of Metadata AC-4(20) - Approved Solutions AC-4(21) - Physical or Logical Separation of Information Flows AC-4(22) - Access Only AC-4(23) - Modify Non-releasable Information AC-4(24) - Internal Normalized Format AC-4(25) - Data Sanitization AC-4(26) - Audit Filtering Actions AC-4(27) - Redundant/Independent Filtering Mechanisms AC-4(28) - Linear Filter Pipelines AC-4(29) - Filter Orchestration Engines AC-4(30) - Filter Mechanisms Using Multiple Processes AC-4(31) - Failed Content Transfer Prevention AC-4(32) - Process Requirements for Information Transfer
AC-4(21),AC-04(21) - Physical or Logical Separation of Information Flows,Access Control,"Separate information flows logically or physically using to accomplish . Discussion Enforcing the separation of information flows associated with defined types of data can enhance protection by ensuring that information is not commingled while in transit and by enabling flow control by transmission paths that are not otherwise achievable. Types of separable information include inbound and outbound communications traffic, service requests and responses, and information of differing security impact or classification levels.",AC-4,ac-4.21_prm_1: organization-defined mechanisms and/or techniques | ac-04.21_odp.01: mechanisms and/or techniques | ac-04.21_odp.02: mechanisms and/or techniques | ac-04.21_odp.03: required separations,AC-04(21)[01]: Information flows are separated logically using to accomplish ; | AC-04(21)[02]: Information flows are separated physically using to accomplish .,
AC-5,AC-05 - Separation of Duties,Access Control,"a. Identify and document ; and b. Define system access authorizations to support separation of duties. Discussion Separation of duties addresses the potential for abuse of authorized privileges and helps to reduce the risk of malevolent activity without collusion. Separation of duties includes dividing mission or business functions and support functions among different individuals or roles, conducting system support functions with different individuals, and ensuring that security personnel who administer access control functions do not also administer audit functions. Because separation of duty violations can span systems and application domains, organizations consider the entirety of systems and system components when developing policy on separation of duties. Separation of duties is enforced through the account management activities in AC-2 , access control mechanisms in AC-3 , and identity management activities in IA-2 , IA-4 , and IA-12 . Additional StateRAMP Requirements and Guidance AC-5 Guidance: SPs have the option to provide a separation of duties matrix as an attachment to the SSP.",AC-5,ac-05_odp: duties of individuals,AC-05a.: are identified and documented; | AC-05b.: System access authorizations to support separation of duties are defined.,
AC-6,AC-06 - Least Privilege,Access Control,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks. Discussion Organizations employ least privilege for specific duties and systems. The principle of least privilege is also applied to system processes, ensuring that the processes have access to systems and operate at privilege levels no higher than necessary to accomplish organizational missions or business functions. Organizations consider the creation of additional processes, roles, and accounts as necessary to achieve least privilege. Organizations apply least privilege to the development, implementation, and operation of organizational systems.",AC-6,,"AC-06: The principle of least privilege is employed, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",Enhancements AC-6(1) - Authorize Access to Security Functions AC-6(2) - Non-privileged Access for Nonsecurity Functions AC-6(3) - Network Access to Privileged Commands AC-6(4) - Separate Processing Domains AC-6(5) - Privileged Accounts AC-6(6) - Privileged Access by Non-organizational Users AC-6(7) - Review of User Privileges AC-6(8) - Privilege Levels for Code Execution AC-6(9) - Log Use of Privileged Functions AC-6(10) - Prohibit Non-privileged Users from Executing Privileged Functions
AC-6(1),AC-06(01) - Authorize Access to Security Functions,Access Control,"Authorize access for to: (a) ; and (b) . Discussion Security functions include establishing system accounts, configuring access authorizations (i.e., permissions, privileges), configuring settings for events to be audited, and establishing intrusion detection parameters. Security-relevant information includes filtering rules for routers or firewalls, configuration parameters for security services, cryptographic key management information, and access control lists. Authorized personnel include security administrators, system administrators, system security officers, system programmers, and other privileged users.",AC-6,"ac-6.1_prm_2: organization-defined security functions (deployed in hardware, software, and firmware) | ac-06.01_odp.01: individuals and roles | ac-06.01_odp.02: security functions (deployed in hardware) | ac-06.01_odp.03: security functions (deployed in software) | ac-06.01_odp.04: security functions (deployed in firmware) | ac-06.01_odp.05: security-relevant information",AC-06(01)(a)[01]: Access is authorized for to ; | AC-06(01)(a)[02]: Access is authorized for to ; | AC-06(01)(a)[03]: Access is authorized for to ; | AC-06(01)(b): Access is authorized for to .,
AC-6(2),AC-06(02) - Non-privileged Access for Nonsecurity Functions,Access Control,"Require that users of system accounts (or roles) with access to use non-privileged accounts or roles, when accessing nonsecurity functions. Discussion Requiring the use of non-privileged accounts when accessing nonsecurity functions limits exposure when operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies, such as role-based access control, and where a change of role provides the same degree of assurance in the change of access authorizations for the user and the processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account. Additional StateRAMP Requirements and Guidance: AC-6 (2) Guidance: Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions.",AC-6,ac-06.02_odp: security functions or security-relevant information,AC-06(02): Users of system accounts (or roles) with access to are required to use non-privileged accounts or roles when accessing non-security functions.,
AC-6(5),AC-06(05) - Privileged Accounts,Access Control,"Restrict privileged accounts on the system to . Discussion Privileged accounts, including super user accounts, are typically described as system administrator for various types of commercial off-the-shelf operating systems. Restricting privileged accounts to specific personnel or roles prevents day-to-day users from accessing privileged information or privileged functions. Organizations may differentiate in the application of restricting privileged accounts between allowed privileges for local accounts and for domain accounts provided that they retain the ability to control system configurations for key parameters and as otherwise necessary to sufficiently mitigate risk.",AC-6,ac-06.05_odp: personnel or roles,AC-06(05): Privileged accounts on the system are restricted to .,
AC-6(7),AC-06(07) - Review of User Privileges,Access Control,"(a) Review the privileges assigned to to validate the need for such privileges; and (b) Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs. Discussion The need for certain assigned user privileges may change over time to reflect changes in organizational mission and business functions, environments of operation, technologies, or threats. A periodic review of assigned user privileges is necessary to determine if the rationale for assigning such privileges remains valid. If the need cannot be revalidated, organizations take appropriate corrective actions.",AC-6,ac-06.07_odp.01: frequency | ac-06.07_odp.02: roles and classes,"AC-06(07)(a): Privileges assigned to are reviewed to validate the need for such privileges; | AC-06(07)(b): Privileges are reassigned or removed, if necessary, to correctly reflect organizational mission and business needs.",
AC-6(9),AC-06(09) - Log Use of Privileged Functions,Access Control,"Log the execution of privileged functions. Discussion The misuse of privileged functions, either intentionally or unintentionally by authorized users or by unauthorized external entities that have compromised system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Logging and analyzing the use of privileged functions is one way to detect such misuse and, in doing so, help mitigate the risk from insider threats and the advanced persistent threat.",AC-6,,AC-06(09): The execution of privileged functions is logged.,
AC-6(10),AC-06(10) - Prohibit Non-privileged Users from Executing Privileged Functions,Access Control,"Prevent non-privileged users from executing privileged functions. Discussion Privileged functions include disabling, circumventing, or altering implemented security or privacy controls, establishing system accounts, performing system integrity checks, and administering cryptographic key management activities. Non-privileged users are individuals who do not possess appropriate authorizations. Privileged functions that require protection from non-privileged users include circumventing intrusion detection and prevention mechanisms or malicious code protection mechanisms. Preventing non-privileged users from executing privileged functions is enforced by AC-3 .",AC-6,,AC-06(10): Non-privileged users are prevented from executing privileged functions.,
AC-7,AC-07 - Unsuccessful Logon Attempts,Access Control,"a. Enforce a limit of consecutive invalid logon attempts by a user during a ; and b. Automatically when the maximum number of unsuccessful attempts is exceeded. Discussion The need to limit unsuccessful logon attempts and take subsequent action when the maximum number of attempts is exceeded applies regardless of whether the logon occurs via a local or network connection. Due to the potential for denial of service, automatic lockouts initiated by systems are usually temporary and automatically release after a predetermined, organization-defined time period. If a delay algorithm is selected, organizations may employ different algorithms for different components of the system based on the capabilities of those components. Responses to unsuccessful logon attempts may be implemented at the operating system and the application levels. Organization-defined actions that may be taken when the number of allowed consecutive invalid logon attempts is exceeded include prompting the user to answer a secret question in addition to the username and password, invoking a lockdown mode with limited user capabilities (instead of full lockout), allowing users to only logon from specified Internet Protocol (IP) addresses, requiring a CAPTCHA to prevent automated attacks, or applying user profiles such as location, time of day, IP address, device, or Media Access Control (MAC) address. If automatic system lockout or execution of a delay algorithm is not implemented in support of the availability objective, organizations consider a combination of other actions to help prevent brute force attacks. In addition to the above, organizations can prompt users to respond to a secret question before the number of allowed unsuccessful logon attempts is exceeded. Automatically unlocking an account after a specified period of time is generally not permitted. However, exceptions may be required based on operational mission or need. Additional StateRAMP Requirements and Guidance: AC-7 Requirement: In alignment with NIST SP 800-63B",AC-7,ac-07_odp.01: number | ac-07_odp.02: time period | ac-07_odp.03: [Selection (one or more): lock the account or node for [(NESTED PARAMETER) Assignment for ac-07_odp.04: time period]; lock the account or node until released by an administrator; delay next logon prompt per [(NESTED PARAMETER) Assignment for ac-07_odp.05: delay algorithm]; notify system administrator; take other [(NESTED PARAMETER) Assignment for ac-07_odp.06: action]] | ac-07_odp.04: time period | ac-07_odp.05: delay algorithm | ac-07_odp.06: action,AC-07a.: A limit of consecutive invalid logon attempts by a user during is enforced; | AC-07b.: Automatically when the maximum number of unsuccessful attempts is exceeded.,Enhancements AC-7(2) - Purge or Wipe Mobile Device AC-7(3) - Biometric Attempt Limiting AC-7(4) - Use of Alternate Authentication Factor
AC-8,AC-08 - System Use Notification,Access Control,"a. Display to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that: 1. Users are accessing a U.S. Government system; 2. System usage may be monitored, recorded, and subject to audit; 3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and 4. Use of the system indicates consent to monitoring and recording; b. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and c. For publicly accessible systems: 1. Display system use information , before granting further access to the publicly accessible system; 2. Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and 3. Include a description of the authorized uses of the system. Discussion System use notifications can be implemented using messages or warning banners displayed before individuals log in to systems. System use notifications are used only for access via logon interfaces with human users. Notifications are not required when human interfaces do not exist. Based on an assessment of risk, organizations consider whether or not a secondary system use notification is needed to access applications or other system resources after the initial network logon. Organizations consider system use notification messages or banners displayed in multiple languages based on organizational needs and the demographics of system users. Organizations consult with the privacy office for input regarding privacy messaging and the Office of the General Counsel or organizational equivalent for legal review and approval of warning banner content. Additional StateRAMP Requirements and Guidance: AC-8 Requirement: The service provider shall determine elements of the cloud environment that require the System Use Notification control. The elements of the cloud environment that require System Use Notification are approved and accepted by the SAC/Sponsor. Requirement: The service provider shall determine how System Use Notification is going to be verified and provide appropriate periodicity of the check. The System Use Notification verification and periodicity are approved and accepted by the SAC/Sponsor. Requirement: If not performed as part of a Configuration Baseline check, then there must be documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider. The documented agreement on how to provide verification of the results are approved and accepted by the SAC/Sponsor. Guidance: If performed as part of a Configuration Baseline check, then the % of items requiring setting that are checked and that pass (or fail) check can be provided.",AC-8,ac-08_odp.01: system use notification | ac-08_odp.02: conditions,"AC-08a.: is displayed to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; | AC-08a.01: The system use notification states that users are accessing a u.s. government system; | AC-08a.02: The system use notification states that system usage may be monitored, recorded, and subject to audit; | AC-08a.03: The system use notification states that unauthorized use of the system is prohibited and subject to criminal and civil penalties; and | AC-08a.04: The system use notification states that use of the system indicates consent to monitoring and recording; | AC-08b.: The notification message or banner is retained on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; | AC-08c.01: For publicly accessible systems, system use information is displayed before granting further access to the publicly accessible system; | AC-08c.02: For publicly accessible systems, any references to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities are displayed; | (+1 more)",
AC-11,AC-11 - Device Lock,Access Control,"a. Prevent further access to the system by ; and b. Retain the device lock until the user reestablishes access using established identification and authentication procedures. Discussion Device locks are temporary actions taken to prevent logical access to organizational systems when users stop work and move away from the immediate vicinity of those systems but do not want to log out because of the temporary nature of their absences. Device locks can be implemented at the operating system level or at the application level. A proximity lock may be used to initiate the device lock (e.g., via a Bluetooth-enabled device or dongle). User-initiated device locking is behavior or policy-based and, as such, requires users to take physical action to initiate the device lock. Device locks are not an acceptable substitute for logging out of systems, such as when organizations require users to log out at the end of workdays.",AC-11,ac-11_odp.01: [Selection (one or more): initiating a device lock after [(NESTED PARAMETER) Assignment for ac-11_odp.02: time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended] | ac-11_odp.02: time period,AC-11a.: Further access to the system is prevented by ; | AC-11b.: Device lock is retained until the user re-establishes access using established identification and authentication procedures.,Enhancements AC-11(1) - Pattern-hiding Displays
AC-11(1),AC-11(01) - Pattern-hiding Displays,Access Control,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image. Discussion The pattern-hiding display can include static or dynamic images, such as patterns used with screen savers, photographic images, solid colors, clock, battery life indicator, or a blank screen with the caveat that controlled unclassified information is not displayed.",AC-11,,"AC-11(01): Information previously visible on the display is concealed, via device lock, with a publicly viewable image.",
AC-12,AC-12 - Session Termination,Access Control,"Automatically terminate a user session after . Discussion Session termination addresses the termination of user-initiated logical sessions (in contrast to SC-10 , which addresses the termination of network connections associated with communications sessions (i.e., network disconnect)). A logical session (for local, network, and remote access) is initiated whenever a user (or process acting on behalf of a user) accesses an organizational system. Such user sessions can be terminated without terminating network sessions. Session termination ends all processes associated with a user’s logical session except for those processes that are specifically created by the user (i.e., session owner) to continue after the session is terminated. Conditions or trigger events that require automatic termination of the session include organization-defined periods of user inactivity, targeted responses to certain types of incidents, or time-of-day restrictions on system use.",AC-12,ac-12_odp: conditions or trigger events,AC-12: A user session is automatically terminated after .,Enhancements AC-12(1) - User-initiated Logouts AC-12(2) - Termination Message AC-12(3) - Timeout Warning Message
