controlId,title,family,description,subFamily
AC.KIM.V1,Key inventory maintained,ACCESS CONTROL AND AUTHORIZATION,"Maintain an inventory of all shared or production access tokens to ensure proper management, tracking, and security of our key assets.",ACCESS CONTROL AND AUTHORIZATION
AC.MRFA.V1,MFA required for administrative access,ACCESS CONTROL AND AUTHORIZATION,Require multi-factor authentication (MFA) for administrative access to critical systems and services. MFA mitigates the risk of unauthorized administrative access and helps protect sensitive administrative functions.,ACCESS CONTROL AND AUTHORIZATION
AC.MUOA.V1,MFA required for applications,ACCESS CONTROL AND AUTHORIZATION,"Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this safeguard.",ACCESS CONTROL AND AUTHORIZATION
AC.MRFC.V1,MFA required for critical services,ACCESS CONTROL AND AUTHORIZATION,Multi-factor authentication (MFA) is required for accessing critical services and infrastructure unless a documented exception is in place where MFA is not supported.,ACCESS CONTROL AND AUTHORIZATION
AC.MRFI.V1,MFA required for infrastructure access,ACCESS CONTROL AND AUTHORIZATION,Require multi-factor authentication (MFA) for accessing sensitive infrastructure. MFA adds an extra layer of security by requiring users to provide additional authentication factors beyond their passwords.,ACCESS CONTROL AND AUTHORIZATION
AC.MRFN.V1,MFA required for network access,ACCESS CONTROL AND AUTHORIZATION,Require multi-factor authentication (MFA) for accessing the organization's network. MFA strengthens network security by requiring users to provide additional authentication factors during login attempts.,ACCESS CONTROL AND AUTHORIZATION
AC.MCPE.V1,Maintenance control process established,ACCESS CONTROL AND AUTHORIZATION,Establish a process to approve and monitor maintenance and diagnostic activities requiring remote network access to manage or maintain systems—this encompasses all maintenance activities for applications hosted on a cloud provider.,ACCESS CONTROL AND AUTHORIZATION
AC.MPAP.V1,Maintenance personnel authorization process established,ACCESS CONTROL AND AUTHORIZATION,Establish a process for authorizing maintenance personnel and organizations to ensure only qualified and authorized individuals perform maintenance on the system. Verify access authorizations for non-escorted personnel and designate authorized personnel to supervise maintenance activities when required.,ACCESS CONTROL AND AUTHORIZATION
AC.MTMA.V1,Maintenance tools managed and secured,ACCESS CONTROL AND AUTHORIZATION,"Implement a process to approve, control, and monitor the use of system maintenance tools, ensuring they are free from malicious code and do not compromise the security of CUI. Additionally, prevent unauthorized removal of system maintenance equipment containing CUI by sanitizing, retaining, or securely destroying such equipment as outlined in the Asset Management Policy.",ACCESS CONTROL AND AUTHORIZATION
AC.PEAR.V1,Password expiration and renewal enforced,ACCESS CONTROL AND AUTHORIZATION,"Periodically check, recall, or revise identification codes and passwords (e.g., password aging) to maintain security and integrity.",ACCESS CONTROL AND AUTHORIZATION
