controlId,title,family,description,subFamily
PRI-21.2,Alternative Out-Out Link,Data Privacy,"Mechanisms exist to publish a single, clearly-labeled link that allows data subjects to efficiently exercise their opt-out rights to: (1) Limit the collection and/or use of Personal Data (PD); and (2) Not sell or share PD.",Protect
PRM-01,Cybersecurity & Data Protection Portfolio Management,Project & Resource Management,Mechanisms exist to facilitate the implementation of cybersecurity and data protection-related resource planning controls that define a viable plan for achieving cybersecurity and data protection objectives.,Govern
PRM-01.1,Strategic Plan & Objectives,Project & Resource Management,Mechanisms exist to establish a strategic cybersecurity and data protection-specific business plan and set of objectives to achieve that plan.,Identify
PRM-01.2,Targeted Capability Maturity Levels,Project & Resource Management,Mechanisms exist to define and identify targeted capability maturity levels.,Identify
PRM-02,Cybersecurity & Data Protection Resource Management,Project & Resource Management,"Mechanisms exist to address all capital planning and investment requests, including the resources needed to implement the cybersecurity and data protection programs and document all exceptions to this requirement.",Identify
PRM-02.1,Prioritization To Address Evolving Risks & Threats,Project & Resource Management,Mechanisms exist to integrate foundational cybersecurity practices with advanced technologies to maintain situation awareness of and minimize the organization's exposure to evolving risks and threats.,Identify
PRM-03,Allocation of Resources,Project & Resource Management,"Mechanisms exist to identify and allocate resources for management, operational, technical and data protection requirements within business process planning for projects / initiatives.",Identify
PRM-04,Cybersecurity & Data Protection In Project Management,Project & Resource Management,"Mechanisms exist to assess cybersecurity and data protection controls in system project development to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting the requirements.",Identify
PRM-05,Cybersecurity & Data Protection Requirements Definition,Project & Resource Management,"Mechanisms exist to identify critical system components and functions by performing a criticality analysis for critical Technology Assets, Applications and/or Services (TAAS) at pre-defined decision points in the Secure Development Life Cycle (SDLC).",Identify
PRM-06,Business Process Definition,Project & Resource Management,"Mechanisms exist to define business processes with consideration for cybersecurity and data protection that determines: (1) The resulting risk to organizational operations, assets, individuals and other organizations; and (2) Information protection needs arising from the defined business processes and revises the processes as necessary, until an achievable set of protection needs is obtained.",Identify
PRM-07,Secure Development Life Cycle (SDLC) Management,Project & Resource Management,"Mechanisms exist to ensure changes to Technology Assets, Applications and/or Services (TAAS) within the Secure Development Life Cycle (SDLC) are controlled through formal change control procedures.",Protect
PRM-08,Manage Organizational Knowledge,Project & Resource Management,Mechanisms exist to manage the organizational knowledge of the cybersecurity and data protection staff.,Protect
RSK-01,Risk Management Program,Risk Management,"Mechanisms exist to facilitate the implementation of strategic, operational and tactical risk management controls.",Govern
RSK-01.1,Risk Framing,Risk Management,"Mechanisms exist to identify: (1) Assumptions affecting risk assessments, risk response and risk monitoring; (2) Constraints affecting risk assessments, risk response and risk monitoring; (3) The organizational risk tolerance; and (4) Priorities, benefits and trade-offs considered by the organization for managing risk.",Identify
RSK-01.2,Risk Management Resourcing,Risk Management,Mechanisms exist to reduce the magnitude or likelihood of potential impacts by resourcing the capability required to manage technology-related risks.,Protect
RSK-01.3,Risk Tolerance,Risk Management,"Mechanisms exist to define organizational risk tolerance, the specified range of acceptable results.",Identify
RSK-01.4,Risk Threshold,Risk Management,"Mechanisms exist to define organizational risk threshold, the level of risk exposure above which risks are addressed and below which risks may be accepted.",Identify
RSK-01.5,Risk Appetite,Risk Management,"Mechanisms exist to define organizational risk appetite, the degree of uncertainty the organization is willing to accept in anticipation of a reward.",Identify
